District,n,Sosyo-demografi,Sosyo-ekonomi,Risk Algısı ve Tutumlar,Değerler,Score
Sancaktepe,886,58.01,55.58,56.02,56.56,61.60
Sultanbeyli,733,53.26,52.00,53.50,57.57,57.24
Sultangazi,1261,51.71,53.45,58.46,51.49,56.70
Esenler,1158,52.73,53.17,49.07,51.92,53.05
Çekmeköy,594,49.45,50.69,54.42,52.05,52.93
Ataşehir,1224,50.08,50.81,56.79,48.83,52.89
Bağcılar,1747,52.79,51.09,48.73,53.01,52.49
Arnavutköy,568,52.69,53.40,45.85,52.45,51.95
Gaziosmanpaşa,1364,52.93,51.60,47.72,52.12,51.94
Esenyurt,1980,51.86,52.58,49.77,49.34,51.58
Çatalca,230,48.89,52.09,49.60,52.27,51.26
Bayrampaşa,784,50.82,50.63,49.11,51.57,50.95
Fatih,1235,51.30,52.08,47.81,50.58,50.79
Güngören,849,51.75,50.89,48.32,50.69,50.73
Zeytinburnu,726,52.14,49.84,47.80,51.73,50.67
Ümraniye,1802,49.10,49.43,50.45,52.36,50.60
Beyoğlu,715,50.51,52.32,49.14,49.06,50.46
Kağıthane,1186,50.90,50.48,47.88,51.75,50.45
Avcılar,1222,49.40,53.39,55.91,43.29,50.44
Küçükçekmece,2130,48.77,50.16,54.57,47.45,50.42
Beykoz,746,48.73,51.44,51.61,48.91,50.31
Eyüp,1075,50.54,50.42,46.60,52.93,50.22
Üsküdar,1680,48.22,49.34,52.36,50.34,50.11
Şile,108,49.48,49.26,45.34,55.65,49.88
Bahçelievler,1590,50.86,47.43,48.48,51.43,49.21
Sarıyer,1047,48.23,48.61,50.54,50.43,49.03
Şişli,931,48.09,47.39,51.67,50.49,48.95
Silivri,457,47.05,48.30,50.83,50.75,48.64
Büyükçekmece,687,46.70,50.82,53.77,44.34,48.06
Başakşehir,918,48.19,47.34,51.88,47.02,47.53
Pendik,1924,50.44,49.19,43.41,49.07,46.50
Kadıköy,1686,45.19,47.64,51.37,47.47,46.31
Kartal,1401,49.87,45.77,45.68,50.08,46.18
Bakırköy,742,45.49,46.54,53.49,45.09,45.83
Maltepe,1515,48.84,47.86,42.77,49.44,45.06
Adalar,57,45.20,48.26,45.79,49.59,45.05
Beşiktaş,694,44.53,44.13,49.50,46.91,43.38
Beylikdüzü,808,47.02,46.10,48.14,43.80,43.38
Tuzla,635,49.69,48.86,39.12,45.82,42.68